uf_nova,localidade,Faixa,Vendas,Margem Ajustada,Margem Recomposta,Receita Liquida Operacional,Ticket Médio,Ticket Mediano,Threshold_min,Threshold_max,Threshold_medio,Threshold_mediano,Margem Faixa,Margem Geral,Margem Tier,Ticket Tier,Margem Geral Tier
Rio Grande do Sul,Metropolitana,"[180,190)",16325,251540,352097.5917444225,2915442.55,240.40655558958653,183.51,0,399,205.56549341798151,119,0.034897057366491624,0.08627849655277893,Tier 3,Tier 4,Tier 2
Rio Grande do Sul,Não Encontrada,"[150,160)",3,5.1899999999999995,5.1899999999999995,305.4,132.39333333333335,155.85,119,149,139,149,-6.938421509106678e-4,0.01699410609037328,Tier 4,Tier 3,Tier 3
Santa Catarina,Capital,"[150,160)",15632,273805.55,352991.8502114303,2401073.46,207.03786207778916,157.49,0,399,132.49765398822004,0,0.024446714183481075,0.11403464098928484,Tier 3,Tier 4,Tier 1
Santa Catarina,Interior,"[190,200)",62315,1089800.84,1477475.5749464997,11743927.2,252.5909920564872,197.91,0,399,205.9041627986515,119,0.025201136623271753,0.09279696829183343,Tier 3,Tier 4,Tier 2
Santa Catarina,Metropolitana,"[170,180)",23246,411799.7,540688.2189880499,3898542.71,224.901190691272,175.41,0,399,189.52670157068061,119,0.04834988464239141,0.10562913648315526,Tier 3,Tier 4,Tier 1
São Paulo,Capital,"[150,160)",318951,6392809.15,8086705.530380369,47395723.47,200.4182397516891,153.14,0,499,165.5278160086925,39,0.07370085843965977,0.13488156065486473,Tier 2,Tier 4,Tier 1
São Paulo,Interior,"[180,190)",214149,3594440.69,4934804.146939181,37950656.13,242.33528365764025,189.23,0,599,195.70054341211258,139,0.04274035952337345,0.09471353216364008,Tier 3,Tier 4,Tier 2
São Paulo,Metropolitana,"[160,170)",130308,2238323.18,2942837.097209008,19819006.41,206.06569523210217,160.19,0,399,174.7111364453091,79,0.06646452197814211,0.1129382136367148,Tier 2,Tier 4,Tier 1
Sergipe,Capital,"[220,230)",2985,-3350.7200000000003,19998.343482871245,593015.22,286.09926968174204,229.41,0,599,367.58247168882326,349,-0.05943786894796612,-0.005650310290518345,Tier 4,Tier 2,Tier 4
Sergipe,Interior,+300,1478,-25999.6,-10261.204260288463,363307.01,355.53073748308526,306.28499999999997,0,599,360.7584789311408,349,-0.059630700446835924,-0.07156371686855147,Tier 4,Tier 1,Tier 4
